frame_idx,left_knee,left_hip,left_elbow,right_knee,right_hip,right_elbow,left_knee_smooth,left_hip_smooth,left_elbow_smooth,right_knee_smooth,right_hip_smooth,right_elbow_smooth,left_vis,right_vis,detected
0,172.29879413001447,177.92172268540304,20.316311921809515,173.11868003950886,176.9884081541529,25.835087752943608,172.29879413001447,177.92172268540304,20.316311921809515,173.11868003950886,176.9884081541529,25.835087752943608,0.3794495115677516,0.9129116336504618,1
1,172.00480944062892,177.85233954137038,21.04440221049848,173.13922504239903,176.90860288773357,26.099464697157064,172.15168696847726,177.88706523753333,20.67658624997906,173.12895507042217,176.9485731831214,25.965259124285264,0.38464862915376824,0.9182688196500143,1
2,172.13080130770675,177.5629841216864,21.369965575434623,173.03460723416373,176.82611811996443,26.47920856067379,172.14498831961512,177.77894500084642,20.9050965447705,173.09745815557244,176.9081276741219,26.13494581652686,0.3880591696749131,0.9219303131103516,1
3,172.0513119070338,177.52084534265538,21.791501490377,173.06106661533624,176.74271798939907,26.784427513968538,172.12164650513537,177.71449720816244,21.121684971675766,173.08833240602573,176.86717569061108,26.29342387055488,0.3902538263549407,0.9244410991668701,1
4,172.10172146696684,177.42178556692775,21.9660865730484,173.06177584730233,176.64364214982263,26.927357567622852,172.1177941220561,177.65610652844725,21.287683333187328,173.0829699921126,176.82299678962093,26.41807512093755,0.3905984051525593,0.925536314646403,1
5,172.09116703041954,177.35786182579565,22.35666849371279,173.04673327222423,176.589333253785,27.23969976979195,172.07636615793703,177.54351234995875,21.701690915028635,173.06855309195993,176.74313945110399,26.70203707569154,0.38984718918800354,0.9254190524419149,1
6,172.05929439055492,177.39340086566978,21.939543149158403,173.03071313359328,176.6440865907801,27.321861057560575,172.08683015317246,177.45190557847144,21.883654654086754,173.04687297336866,176.6898807219255,26.947159297935794,0.38964826613664627,0.9263080159823099,1
7,172.66034463308623,177.23314394089294,21.629124571029703,173.12705411169793,176.62778714955655,27.329912454047225,172.19264602028642,177.38564060737454,21.936293388098438,173.06539519980063,176.64990362630428,27.120439521213406,0.392881549273928,0.928841769695282,1
8,172.81039729664806,177.2344994096505,21.74821992367143,173.17434138352706,176.60532511622193,27.13362607352193,172.3438362916631,177.328160950865,21.925132844181327,173.0881131152948,176.62212024409462,27.190263618757644,0.394340081140399,0.9309941728909811,1
9,173.18540430727492,177.145066894565,21.83803609547315,173.22034243205664,176.58307493214326,27.13650943167725,172.5600911625654,177.27275704611336,21.89792168982959,173.11983215680368,176.60991198789972,27.232383660948337,0.39442322713633376,0.9317593574523926,1
10,173.1337330139674,177.16418973373962,21.707693263037804,173.25658160075875,176.59256174294438,27.174645300511354,172.76880114158539,177.23407540728374,21.770883854152487,173.16177425850188,176.61057709260538,27.218995537378365,0.39454295734564465,0.9319348136583964,1
11,173.19875769782365,177.12208942993314,21.45682469026256,173.31205593711695,176.57540817821098,27.234221797966427,172.99744549001502,177.1797965347957,21.67505257508947,173.21806813417317,176.59681168372097,27.201673039049567,0.3935564501831929,0.9313464164733887,1
12,173.49383053781668,177.05636424128656,21.56002546605505,173.39718931998598,176.69926078868824,26.866867169911032,173.1646066907977,177.1444448148181,21.661686062281106,173.27220615572423,176.61088606054548,27.10909738807074,0.3926775821795066,0.9312764406204224,1
13,173.50088350632106,177.09008862709672,21.488721547904007,173.5954589020599,176.6776748086134,26.77451761456309,173.3027243054708,177.11554999371737,21.609433736894744,173.35654178679104,176.62512549066994,27.036612353211776,0.3929036855697632,0.9318637847900391,1
14,173.74120277042448,176.99690667732787,21.51090653695847,173.5035326132085,176.66671842945303,26.425532986192593,173.4138376190416,177.08588719917222,21.544599677398434,173.4132024489589,176.6418151805053,26.891744558342083,0.39175282791256905,0.9283817211786906,1
15,173.6715912118703,176.99871875897077,21.830912044073994,173.57560761051073,176.64663895709458,26.272763351217687,173.5213197867442,177.05281719143213,21.571257126113693,173.47697345094335,176.65283259856812,26.710756181927938,0.39081327555080253,0.9266680479049683,1
16,173.8044866427725,176.86869815006875,21.947943041632186,173.76904172219605,176.49852346347572,26.235022909758932,173.64237850458153,177.00217396617597,21.66981861901838,173.56825064947566,176.63769529036986,26.51128852428962,0.39328113694985706,0.9287636677424113,1
17,173.82472963485858,176.85288646688736,21.981690598829214,173.7837350509931,176.44441710510114,26.25242907367387,173.70861910807096,176.96143025755606,21.75317455069469,173.64557286687156,176.58678165487711,26.390134300222396,0.39558823841313523,0.9311039050420126,1
18,173.89710120983744,176.78951873602688,22.179499661477927,173.93604567637647,176.2352557737367,26.385742439984377,173.78785775705563,176.90130948670486,21.88952520852175,173.71355597078593,176.49827169484206,26.314284956944352,0.3962084415058295,0.9302799503008524,1
19,173.73781820472087,176.8446777238803,22.442700511866587,173.93178951131085,176.23011227064725,26.34295406623938,173.78721075780325,176.87086502007108,22.07495167630675,173.79925609980307,176.41089172970803,26.297827187964053,0.3973759151995182,0.9327984849611918,1
20,173.7415569477759,176.82084352137463,22.631437143312287,174.01654318468104,176.1486153013128,26.522426660190526,173.80120699994325,176.8353121580127,22.233914923802885,173.88747908790975,176.31128737532023,26.347361553689403,0.39972305794556934,0.9345602989196777,1
21,173.55888899974403,176.91378349350256,22.69975728144033,173.88939427914937,176.47012044299186,26.47439355963859,173.7521019848035,176.84433065067887,22.38392206064116,173.91148903637728,176.3056596133343,26.39488667108312,0.39862027453879517,0.9338910579681396,1
22,173.60962011596612,176.9142783163818,22.727950083284433,173.89406608671032,176.4184259106706,26.598147978443635,173.7090543980557,176.85661499951553,22.53435673970159,173.9335531237382,176.3004842575042,26.46425004538802,0.3970361879716317,0.9314766526222229,1
23,173.73470156585503,176.8555899246163,22.807746252975896,173.96091111581384,176.3578102129039,26.77802488913659,173.67649449928467,176.86983997171677,22.661474745136772,173.93853625644275,176.32499748003508,26.54260456745018,0.39724064618349075,0.9326175451278687,1
24,173.75895766551037,176.8385245531901,22.954751631549072,173.95635048082818,176.4686790725403,26.958862057949506,173.68073054726688,176.86860617600928,22.764304493322424,173.94344620613663,176.3727083879945,26.665011200775844,0.39595859746138257,0.9312197168668112,1
25,173.8379006460023,176.81010997860582,22.422200420966863,173.9163391551879,176.55131808155534,26.847194686451743,173.69997486733908,176.866463084933,22.721618981711423,173.9234178160495,176.45323563918598,26.7300134875836,0.3977609686553478,0.9328974286715189,1
26,173.81394570564444,176.86879118274098,22.426788881163013,173.7538445338048,176.64709924063848,26.776315660945134,173.75102089218805,176.85744227719516,22.666205155291102,173.89622572300948,176.48864966020685,26.790183179528995,0.3969676351795594,0.9327526092529297,1
27,174.07724746482882,176.82209494866083,22.161149902818877,173.90812444336927,176.70807993513012,26.771796076732553,173.8447350164383,176.8390547752744,22.549981270551164,173.89905519725818,176.54667627504043,26.825557481327436,0.39730764118333656,0.9332726200421652,1
28,174.12938681796928,176.83110630244022,22.052177974255702,174.19269299943764,176.65008016804035,26.48200149365493,173.92387124354596,176.8342224942057,22.396850084074142,173.94574237052942,176.60531394136993,26.765636334851084,0.39627415376404923,0.9322100083033243,1
29,174.27655383944997,176.85605658188408,22.112738172895423,174.12235874201173,176.7015818155014,26.6400181247855,174.02750866860612,176.83781478392942,22.231956181102536,173.97905191931528,176.65193874002617,26.70142812831081,0.39461514229575795,0.9285802443822225,1
30,174.24331830667168,176.88315071900968,22.28110821999578,174.13255996842614,176.72588553580408,26.764916843220266,174.10847384788156,176.85244249195173,22.204660354878733,174.022253540302,176.68683888424982,26.685750219632443,0.39359505598743755,0.9244589606920878,1
31,174.20948303813142,176.9121974872912,22.340696097329467,174.07166763310363,176.81896141604125,26.843421896342726,174.1872200926189,176.86101503272417,22.189240097167932,174.08554817747952,176.72108607636383,26.700069555810142,0.3916568284233411,0.9205712676048279,1
32,174.25317813239417,177.05730719555996,22.19392703765,174.0215427343509,176.8846732599014,26.95610142324097,174.22236357504684,176.908088491123,22.19615955855038,174.1082066768119,176.75634795454422,26.737929282491976,0.39135273173451424,0.9189992547035217,1
33,174.22052288823167,177.0797731154325,22.21228123800699,173.96224984758047,176.91013472451806,27.025615126333733,174.24060571461757,176.95776178315444,22.22826858840303,174.062110937038,176.80832606772523,26.846646943412228,0.3900235431889693,0.9151197870572408,1
34,174.24746108023058,177.4267972962434,21.503303549732447,173.82493741389607,177.10990773361678,27.080783680817476,174.234790203419,177.0720588735496,22.107816465301067,174.0026191111337,176.8899837883223,26.93449731334064,0.3896424261232217,0.9141498406728109,1
35,174.24354172517468,177.4600915487661,21.519162318300005,173.8838435826403,177.13451366184032,27.119422673998013,174.2348347844609,177.18754313100675,21.956254510972986,173.9528679709318,176.9716792493326,27.005393890396935,0.3889658370365699,0.9132580558458964,1
36,174.25948367001618,177.49673740942723,21.546367624972426,173.91398177058795,177.19351698701678,27.05223650487968,174.24484772790925,177.3044536246175,21.797032879421497,173.92131703489633,177.04660158482213,27.04692964511354,0.38770028700431186,0.9114519357681274,1
37,174.09959320468633,177.50884892549357,21.731760361766415,173.92778939428382,177.19189931296535,27.026596150706567,174.2141300876244,177.39466771650152,21.703745611040095,173.90258346073566,177.10805416260115,27.06040516858333,0.38753262038032216,0.9114213983217875,1
38,174.15148740238183,177.54750091194762,21.595949084202694,173.82713125634854,177.37651184888696,27.005798844012382,174.20030591127988,177.48801605937544,21.57849073708291,173.87555769156248,177.20131838742796,27.055439931576462,0.389760697260499,0.9135969877243042,1
